Time	Frequency
-0.5000276780625015	-7.298487990174794e-24
-0.4999666429062515	-7.659035720800748e-24
-0.4999056077500015	-8.015883639883186e-24
-0.4998445725937515	-8.36884794521784e-24
-0.4997835374375015	-8.71774147187544e-24
-0.4997225022812515	-9.062393462108578e-24
-0.4996614671250015	-9.402656318791574e-24
-0.4996004319687515	-9.738357985626114e-24
-0.4995393968125015	-1.0069301427073615e-23
-0.4994783616562515	-1.0395320038370867e-23
-0.4994173265000015	-1.0716272516890354e-23
-0.4993562913437515	-1.1031993231182901e-23
-0.4992952561875015	-1.1342310080738803e-23
-0.4992342210312515	-1.16470764466155e-23
-0.4991731858750015	-1.1946142866834393e-23
-0.4991121507187515	-1.223934907384176e-23
-0.4990511155625015	-1.2526549807747315e-23
-0.4989900804062515	-1.280760211694845e-23
-0.4989290452500015	-1.308235811625747e-23
-0.4988680100937515	-1.3350682854421935e-23
-0.4988069749375015	-1.3612445934861682e-23
-0.4987459397812515	-1.3867513158324795e-23
-0.4986849046250015	-1.4115749392713122e-23
-0.4986238694687515	-1.4357023697155893e-23
-0.4985628343125015	-1.4591219428354503e-23
-0.4985017991562515	-1.481822592733917e-23
-0.4984407640000015	-1.5037927132965537e-23
-0.4983797288437515	-1.5250205410347912e-23
-0.4983186936875015	-1.5454943733750276e-23
-0.4982576585312515	-1.565203525602594e-23
-0.4981966233750015	-1.5841394009322425e-23
-0.4981355882187515	-1.6022932129817216e-23
-0.4980745530625015	-1.61965448439411e-23
-0.4980135179062515	-1.6362135098517404e-23
-0.4979524827500015	-1.6519619969423242e-23
-0.4978914475937515	-1.6668920277470823e-23
-0.4978304124375015	-1.6809963031764113e-23
-0.4977693772812515	-1.69426750744296e-23
-0.4977083421250015	-1.7066984627769017e-23
-0.4976473069687515	-1.718283013510476e-23
-0.4975862718125015	-1.7290149826961033e-23
-0.4975252366562515	-1.738888320702424e-23
-0.4974642015000015	-1.7478980495800063e-23
-0.4974031663437515	-1.7560395505651264e-23
-0.4973421311875015	-1.7633083271904758e-23
-0.4972810960312515	-1.7697004262703493e-23
-0.4972200608750015	-1.7752126393774775e-23
-0.4971590257187515	-1.7798421898425065e-23
-0.4970979905625015	-1.7835861485483336e-23
-0.4970369554062515	-1.786441951435172e-23
-0.4969759202500015	-1.788407990925681e-23
