Time	Strain
-1.7999611369687498	3.642868779834589e-22
-1.7999001018124998	3.604336044966279e-22
-1.7998390666562498	3.5654638745991e-22
-1.7997780314999998	3.526255904393486e-22
-1.7997169963437498	3.486715797697551e-22
-1.7996559611874998	3.446847247377563e-22
-1.7995949260312498	3.4066539842517833e-22
-1.7995338908749998	3.3661397647070873e-22
-1.7994728557187498	3.325308375832722e-22
-1.7994118205624998	3.2841636441772004e-22
-1.7993507854062498	3.2427094074011257e-22
-1.7992897502499998	3.2009495468287686e-22
-1.7992287150937498	3.1588879700909286e-22
-1.7991676799374998	3.116528610714613e-22
-1.7991066447812498	3.0738754354676947e-22
-1.7990456096249998	3.030932430402645e-22
-1.7989845744687498	2.9877036181840133e-22
-1.7989235393124998	2.9441930418501003e-22
-1.7988625041562498	2.9004047764252616e-22
-1.7988014689999998	2.856342921748089e-22
-1.7987404338437498	2.812011599280141e-22
-1.7986793986874998	2.767414961279403e-22
-1.7986183635312498	2.7225571848249567e-22
-1.7985573283749998	2.6774424692018673e-22
-1.7984962932187498	2.6320750395196584e-22
-1.7984352580624998	2.586459146614434e-22
-1.7983742229062498	2.5405990618595916e-22
-1.7983131877499998	2.4944990817640073e-22
-1.7982521525937498	2.448163525779198e-22
-1.7981911174374998	2.4015967323898174e-22
-1.7981300822812498	2.3548030695679757e-22
-1.7980690471249998	2.3077869184203094e-22
-1.7980080119687498	2.2605526892091347e-22
-1.7979469768124998	2.213104805504355e-22
-1.7978859416562498	2.165447715343571e-22
-1.7978249064999998	2.117585887754985e-22
-1.7977638713437498	2.0695238094756057e-22
-1.7977028361874998	2.0212659850490423e-22
-1.7976418010312498	1.9728169406160933e-22
-1.7975807658749998	1.9241812198852436e-22
-1.7975197307187498	1.8753633830211823e-22
-1.7974586955624998	1.8263680100438176e-22
-1.7973976604062498	1.7771996947051197e-22
-1.7973366252499998	1.7278630502974819e-22
-1.7972755900937498	1.6783627038150403e-22
-1.7972145549374998	1.628703300412735e-22
-1.7971535197812498	1.5788894991381928e-22
-1.7970924846249998	1.528925974577853e-22
-1.7970314494687498	1.4788174142828592e-22
-1.7969704143124998	1.4285685219246361e-22
-1.7969093791562498	1.3781840126449667e-22
-1.7968483439999998	1.3276686167180235e-22
-1.7967873088437498	1.2770270748824842e-22
-1.7967262736874998	1.226264141714708e-22
-1.7966652385312498	1.175384583537993e-22
-1.7966042033749998	1.1243931766213833e-22
-1.7965431682187498	1.0732947091389824e-22
-1.7964821330624998	1.0220939792856741e-22
-1.7964210979062498	9.707957959538201e-23
-1.7963600627499998	9.194049768976347e-23
-1.7962990275937498	8.679263485277372e-23
-1.7962379924374998	8.163647469955087e-23
-1.7961769572812498	7.647250154357682e-23
-1.7961159221249998	7.130120058439392e-23
-1.7960548869687498	6.612305763152848e-23
-1.7959938518124998	6.093855929826608e-23
-1.7959328166562498	5.574819268914084e-23
-1.7958717814999998	5.055244555930795e-23
-1.7958107463437498	4.5351806285060194e-23
-1.7957497111874998	4.014676363293393e-23
-1.7956886760312498	3.493780684634381e-23
-1.7956276408749998	2.9725425582329806e-23
-1.7955666057187498	2.4510109870677472e-23
-1.7955055705624998	1.929235002123888e-23
-1.7954445354062498	1.4072636628819054e-23
-1.7953835002499998	8.851460482412479e-24
-1.7953224650937498	3.6293125883879344e-24
-1.7952614299374998	-1.593315945844778e-24
-1.7952003947812498	-6.81593390658154e-24
-1.7951393596249998	-1.2038050082442789e-23
-1.7950783244687498	-1.725917328004531e-23
-1.7950172893124998	-2.247881234500985e-23
-1.7949562541562498	-2.769647619172483e-23
-1.7948952189999998	-3.2911673905980175e-23
-1.7948341838437498	-3.8123914865518075e-23
-1.7947731486874998	-4.333270844491559e-23
-1.7947121135312498	-4.8537564625251994e-23
-1.7946510783749998	-5.373799344740967e-23
-1.7945900432187498	-5.893350555666743e-23
-1.7945290080624998	-6.412361178503807e-23
-1.7944679729062498	-6.930782363228853e-23
-1.7944069377499998	-7.448565311282095e-23
-1.7943459025937498	-7.965661270989423e-23
-1.7942848674374998	-8.482021549594245e-23
-1.7942238322812498	-8.997597537490197e-23
-1.7941627971249998	-9.512340661812703e-23
-1.7941017619687498	-1.0026202478403491e-22
-1.7940407268124998	-1.0539134557938054e-22
-1.7939796916562498	-1.105108860586975e-22
-1.7939186564999998	-1.1562016395731434e-22
-1.7938576213437498	-1.2071869792685992e-22
-1.7937965861874998	-1.2580600767771182e-22
-1.7937355510312498	-1.3088161381983759e-22
-1.7936745158749998	-1.359450381011762e-22
-1.7936134807187498	-1.4099580353492216e-22
-1.7935524455624998	-1.4603343385496096e-22
-1.7934914104062498	-1.5105745463367402e-22
-1.7934303752499998	-1.5606739201554864e-22
-1.7933693400937498	-1.6106277390777298e-22
-1.7933083049374998	-1.6604312948805367e-22
-1.7932472697812498	-1.7100798898001542e-22
-1.7931862346249998	-1.7595688446582347e-22
-1.7931251994687498	-1.8088934932774396e-22
-1.7930641643124998	-1.8580491838381044e-22
-1.7930031291562498	-1.907031279457507e-22
-1.7929420939999998	-1.9558351614539267e-22
-1.7928810588437498	-2.004456227743724e-22
-1.7928200236874998	-2.0528898894683722e-22
-1.7927589885312498	-2.1011315815268278e-22
-1.7926979533749998	-2.149176746138568e-22
-1.7926369182187498	-2.19702085747202e-22
-1.7925758830624998	-2.244659394779404e-22
-1.7925148479062498	-2.2920878703497284e-22
-1.7924538127499998	-2.339301796959746e-22
-1.7923927775937498	-2.3862967288499313e-22
-1.7923317424374998	-2.4330682244819223e-22
-1.7922707072812498	-2.4796118673947576e-22
-1.7922096721249998	-2.525923266608749e-22
-1.7921486369687498	-2.5719980510770246e-22
-1.7920876018124998	-2.6178318667725376e-22
-1.7920265666562498	-2.6634203877867273e-22
-1.7919655314999998	-2.708759306349425e-22
-1.7919044963437498	-2.753844342240111e-22
-1.7918434611874998	-2.798671235988845e-22
-1.7917824260312498	-2.843235754596476e-22
-1.7917213908749998	-2.8875336859974953e-22
-1.7916603557187498	-2.931560844505417e-22
-1.7915993205624998	-2.9753130714350256e-22
-1.7915382854062498	-3.0187862300962484e-22
-1.7914772502499998	-3.0619762126667216e-22
-1.7914162150937498	-3.104878938383572e-22
-1.7913551799374998	-3.1474903510841404e-22
-1.7912941447812498	-3.189806418491251e-22
-1.7912331096249998	-3.231823146933072e-22
-1.7911720744687498	-3.273536558303769e-22
-1.7911110393124998	-3.3149427085259625e-22
-1.7910500041562498	-3.356037681661598e-22
-1.7909889689999998	-3.396817592975937e-22
-1.7909279338437498	-3.4372785834686113e-22
-1.7908668986874998	-3.4774168206537785e-22
-1.7908058635312498	-3.517228514815856e-22
-1.7907448283749998	-3.5567098934566574e-22
-1.7906837932187498	-3.5958572238401393e-22
-1.7906227580624998	-3.6346667986949855e-22
-1.7905617229062498	-3.673134941501146e-22
-1.7905006877499998	-3.711258015934789e-22
-1.7904396525937498	-3.749032408882921e-22
-1.7903786174374998	-3.7864545440028315e-22
-1.7903175822812498	-3.8235208789194364e-22
-1.7902565471249998	-3.8602279008806783e-22
-1.7901955119687498	-3.896572138158512e-22
-1.7901344768124998	-3.9325501407236797e-22
-1.7900734416562498	-3.9681585021695357e-22
-1.7900124064999998	-4.003393848191059e-22
-1.7899513713437498	-4.0382528359847176e-22
-1.7898903361874998	-4.0727321687324917e-22
-1.7898293010312498	-4.106828571451798e-22
-1.7897682658749998	-4.1405388194184764e-22
-1.7897072307187498	-4.1738597056111643e-22
-1.7896461955624998	-4.2067880720999835e-22
-1.7895851604062498	-4.239320803284525e-22
-1.7895241252499998	-4.271454808267136e-22
-1.7894630900937498	-4.303187031991803e-22
-1.7894020549374998	-4.33451447381118e-22
-1.7893410197812498	-4.365434152628055e-22
-1.7892799846249998	-4.395943134727135e-22
-1.7892189494687498	-4.426038523309401e-22
-1.7891579143124998	-4.455717467752611e-22
-1.7890968791562498	-4.484977137554596e-22
-1.7890358439999998	-4.513814760607061e-22
-1.7889748088437498	-4.542227592277143e-22
-1.7889137736874998	-4.570212937239723e-22
-1.7888527385312498	-4.597768134799282e-22
-1.7887917033749998	-4.624890565003876e-22
-1.7887306682187498	-4.651577645226058e-22
-1.7886696330624998	-4.677826839797689e-22
-1.7886085979062498	-4.703635656573757e-22
-1.7885475627499998	-4.729001627184035e-22
-1.7884865275937498	-4.753922349211778e-22
-1.7884254924374998	-4.778395451133122e-22
-1.7883644572812498	-4.802418590516505e-22
-1.7883034221249998	-4.82598949285783e-22
-1.7882423869687498	-4.849105902474497e-22
-1.7881813518124998	-4.8717656244082755e-22
-1.7881203166562498	-4.893966491459099e-22
-1.7880592814999998	-4.915706392957137e-22
-1.7879982463437498	-4.936983251904066e-22
-1.7879372111874998	-4.957795041076517e-22
-1.7878761760312498	-4.978139770952615e-22
-1.7878151408749998	-4.998015500806763e-22
-1.7877541057187498	-5.017420332500545e-22
-1.7876930705624998	-5.036352407161354e-22
-1.7876320354062498	-5.054809929284953e-22
-1.7875710002499998	-5.072791120457874e-22
-1.7875099650937498	-5.0902942628091135e-22
-1.7874489299374998	-5.107317684566844e-22
-1.7873878947812498	-5.12385975470238e-22
-1.7873268596249998	-5.139918889627231e-22
-1.7872658244687498	-5.15549354479175e-22
-1.7872047893124998	-5.17058223086955e-22
-1.7871437541562498	-5.185183498852015e-22
-1.7870827189999998	-5.1992959531548885e-22
-1.7870216838437498	-5.212918226163019e-22
-1.7869606486874998	-5.226049018614947e-22
-1.7868996135312498	-5.238687058136138e-22
-1.7868385783749998	-5.250831132356251e-22
-1.7867775432187498	-5.262480069242957e-22
-1.7867165080624998	-5.273632745936015e-22
-1.7866554729062498	-5.284288084845164e-22
-1.7865944377499998	-5.294445053740269e-22
-1.7865334025937498	-5.304102670598176e-22
-1.7864723674374998	-5.3132600023592005e-22
-1.7864113322812498	-5.321916154631362e-22
-1.7863502971249998	-5.330070285395105e-22
-1.7862892619687498	-5.337721604344581e-22
-1.7862282268124998	-5.344869358198501e-22
-1.7861671916562498	-5.351512852456351e-22
-1.7861061564999998	-5.357651431856672e-22
-1.7860451213437498	-5.363284493610314e-22
-1.7859840861874998	-5.368411477414025e-22
-1.7859230510312498	-5.373031875477312e-22
-1.7858620158749998	-5.377145231855271e-22
-1.7858009807187498	-5.380751119771863e-22
-1.7857399455624998	-5.383849191009301e-22
-1.7856789104062498	-5.386439108876013e-22
-1.7856178752499998	-5.388520616909583e-22
-1.7855568400937498	-5.390093490098708e-22
-1.7854958049374998	-5.391157549908244e-22
-1.7854347697812498	-5.391712679377973e-22
-1.7853737346249998	-5.391758788377602e-22
-1.7853126994687498	-5.391295851273083e-22
-1.7852516643124998	-5.390323891366173e-22
-1.7851906291562498	-5.3888429761333855e-22
-1.7851295939999998	-5.386853211935926e-22
-1.7850685588437498	-5.384354764488918e-22
-1.7850075236874998	-5.381347845861235e-22
-1.7849464885312498	-5.377832713755383e-22
-1.7848854533749998	-5.37380967053679e-22
-1.7848244182187498	-5.369279073703585e-22
-1.7847633830624998	-5.3642413264367285e-22
-1.7847023479062498	-5.358696877207534e-22
-1.7846413127499998	-5.352646229582444e-22
-1.7845802775937498	-5.346089923961906e-22
-1.7845192424374998	-5.3390285532150585e-22
-1.7844582072812498	-5.331462762498889e-22
-1.7843971721249998	-5.323393244112012e-22
-1.7843361369687498	-5.314820719291174e-22
-1.7842751018124998	-5.30574599427818e-22
-1.7842140666562498	-5.296169885409466e-22
-1.7841530314999998	-5.286093279791918e-22
-1.7840919963437498	-5.275517099711383e-22
-1.7840309611874998	-5.264442323279281e-22
-1.7839699260312498	-5.252869962328854e-22
-1.7839088908749998	-5.240801097306402e-22
-1.7838478557187498	-5.228236835678873e-22
-1.7837868205624998	-5.215178340329016e-22
-1.7837257854062498	-5.201626824713477e-22
-1.7836647502499998	-5.187583541777031e-22
-1.7836037150937498	-5.1730497886911435e-22
-1.7835426799374998	-5.158026920610817e-22
-1.7834816447812498	-5.142516331834238e-22
-1.7834206096249998	-5.126519454819265e-22
-1.7833595744687498	-5.110037785292606e-22
-1.7832985393124998	-5.093072854755073e-22
-1.7832375041562498	-5.075626240108304e-22
-1.7831764689999998	-5.057699566588342e-22
-1.7831154338437498	-5.039294502929817e-22
-1.7830543986874998	-5.020412765742644e-22
-1.7829933635312498	-5.001056117158795e-22
-1.7829323283749998	-4.981226354144113e-22
-1.7828712932187498	-4.960925339080911e-22
-1.7828102580624998	-4.940154956804571e-22
-1.7827492229062498	-4.918917149086659e-22
-1.7826881877499998	-4.89721390766199e-22
-1.7826271525937498	-4.875047247090695e-22
-1.7825661174374998	-4.852419246839568e-22
-1.7825050822812498	-4.829332018903231e-22
-1.7824440471249998	-4.805787730170998e-22
-1.7823830119687498	-4.781788571108404e-22
-1.7823219768124998	-4.7573367986341535e-22
-1.7822609416562498	-4.732434690810505e-22
-1.7821999064999998	-4.707084587375268e-22
-1.7821388713437498	-4.681288859286579e-22
