# t hplus hcross
  -1.5036773500000000e-01    1.3236949567328053e-21   -9.6503388032574339e-22
  -1.5030669984375000e-01    1.3384532507725447e-21   -9.4469167302447219e-22
  -1.5024566468750000e-01    1.3529007120587652e-21   -9.2412127540605481e-22
  -1.5018462953125000e-01    1.3670337753081888e-21   -9.0332740871400525e-22
  -1.5012359437500000e-01    1.3808489453070498e-21   -8.8231484965721631e-22
  -1.5006255921875000e-01    1.3943428003151024e-21   -8.6108843100969580e-22
  -1.5000152406250000e-01    1.4075119908922141e-21   -8.3965303918632842e-22
  -1.4994048890625000e-01    1.4203532425955435e-21   -8.1801361425536943e-22
  -1.4987945375000000e-01    1.4328633530777057e-21   -7.9617514675687991e-22
  -1.4981841859375000e-01    1.4450391994814547e-21   -7.7414268009724302e-22
  -1.4975738343750000e-01    1.4568777310150867e-21   -7.5192130512608968e-22
  -1.4969634828125000e-01    1.4683759771881566e-21   -7.2951616282020955e-22
  -1.4963531312500000e-01    1.4795310444204225e-21   -7.0693244080915799e-22
  -1.4957427796875000e-01    1.4903401161793230e-21   -6.8417537235387044e-22
  -1.4951324281250000e-01    1.5008004595361183e-21   -6.6125023738891870e-22
  -1.4945220765625000e-01    1.5109094171807755e-21   -6.3816235768568430e-22
  -1.4939117250000000e-01    1.5206644154186053e-21   -6.1491709876142876e-22
  -1.4933013734375000e-01    1.5300629611622301e-21   -5.9151986701368031e-22
  -1.4926910218750000e-01    1.5391026436027646e-21   -5.6797610902689076e-22
  -1.4920806703125000e-01    1.5477811351005969e-21   -5.4429131036026215e-22
  -1.4914703187500000e-01    1.5560961915026059e-21   -5.2047099406853378e-22
  -1.4908599671875000e-01    1.5640456523054892e-21   -4.9652071947341406e-22
  -1.4902496156250000e-01    1.5716274420583496e-21   -4.7244608105187135e-22
  -1.4896392640625000e-01    1.5788395711746490e-21   -4.4825270714558798e-22
  -1.4890289125000000e-01    1.5856801345526858e-21   -4.2394625833627218e-22
  -1.4884185609375000e-01    1.5921473147731684e-21   -3.9953242657528062e-22
  -1.4878082093750000e-01    1.5982393821085579e-21   -3.7501693388582267e-22
  -1.4871978578125000e-01    1.6039546917987772e-21   -3.5040553027644371e-22
  -1.4865875062500000e-01    1.6092916881870483e-21   -3.2570399328670437e-22
  -1.4859771546875000e-01    1.6142489047482388e-21   -3.0091812641646827e-22
  -1.4853668031250000e-01    1.6188249618956091e-21   -2.7605375736244520e-22
  -1.4847564515625000e-01    1.6230185725672741e-21   -2.5111673749591171e-22
  -1.4841461000000000e-01    1.6268285362574236e-21   -2.2611293956188705e-22
  -1.4835357484375000e-01    1.6302537425140122e-21   -2.0104825677095878e-22
  -1.4829253968750000e-01    1.6332931730310378e-21   -1.7592860158099926e-22
  -1.4823150453125000e-01    1.6359458989358209e-21   -1.5075990404845312e-22
  -1.4817046937500000e-01    1.6382110828422714e-21   -1.2554811053271354e-22
  -1.4810943421875000e-01    1.6400879793303843e-21   -1.0029918223794103e-22
  -1.4804839906250000e-01    1.6415759318331866e-21   -7.5019093946265670e-23
  -1.4798736390625000e-01    1.6426743786829118e-21   -4.9713832480467523e-23
  -1.4792632875000000e-01    1.6433828499580467e-21   -2.4389395374489699e-23
  -1.4786529359375000e-01    1.6437009660017723e-21    9.4821054753321209e-25
  -1.4780425843750000e-01    1.6436284407053422e-21    2.6292970658657516e-23
  -1.4774322328125000e-01    1.6431650808861033e-21    5.1638863796025681e-23
  -1.4768218812500000e-01    1.6423107850375012e-21    7.6979863823107338e-23
  -1.4762115296875000e-01    1.6410655465030009e-21    1.0230994118178788e-22
  -1.4756011781250000e-01    1.6394294491452562e-21    1.2762306386536107e-22
  -1.4749908265625000e-01    1.6374026730526452e-21    1.5291319955344397e-22
  -1.4743804750000000e-01    1.6349854862113135e-21    1.7817431594843603e-22
  -1.4737701234375000e-01    1.6321782556095396e-21    2.0340038367428776e-22
  -1.4731597718750000e-01    1.6289814375362094e-21    2.2858537640653106e-22
  -1.4725494203125000e-01    1.6253955819441002e-21    2.5372327285836111e-22
  -1.4719390687500000e-01    1.6214213342700677e-21    2.7880805875027722e-22
  -1.4713287171875000e-01    1.6170594298073215e-21    3.0383372691666994e-22
  -1.4707183656250000e-01    1.6123106983372982e-21    3.2879427994296280e-22
  -1.4701080140625000e-01    1.6071760630586401e-21    3.5368373133776381e-22
  -1.4694976625000000e-01    1.6016565386089834e-21    3.7849610644593572e-22
  -1.4688873109375000e-01    1.5957532325095684e-21    4.0322544432906378e-22
  -1.4682769593750000e-01    1.5894673444886751e-21    4.2786579902816754e-22
  -1.4676666078125000e-01    1.5828001690302631e-21    4.5241124196105912e-22
  -1.4670562562500000e-01    1.5757530888937841e-21    4.7685586128342914e-22
  -1.4664459046875000e-01    1.5683275806918107e-21    5.0119376511379284e-22
  -1.4658355531250000e-01    1.5605252115946745e-21    5.2541908212662717e-22
  -1.4652252015625000e-01    1.5523476417750233e-21    5.4952596379009925e-22
  -1.4646148500000000e-01    1.5437966206114684e-21    5.7350858464732324e-22
  -1.4640044984375000e-01    1.5348739886240066e-21    5.9736114441534050e-22
  -1.4633941468750000e-01    1.5255816760343764e-21    6.2107786909603485e-22
  -1.4627837953125000e-01    1.5159217048067786e-21    6.4465301329765910e-22
  -1.4621734437500000e-01    1.5058961846232190e-21    6.6808086014168931e-22
  -1.4615630921875000e-01    1.4955073146611754e-21    6.9135572360573490e-22
  -1.4609527406250000e-01    1.4847573829968057e-21    7.1447194977371151e-22
  -1.4603423890625000e-01    1.4736487659504011e-21    7.3742391828805967e-22
