Time	Strain
-1.7999698396875	-2.5155758763066975e-22
-1.79990880453125	-2.535616550376188e-22
-1.799847769375	-2.5551461627174465e-22
-1.79978673421875	-2.574160742616801e-22
-1.7997256990625	-2.5926564263704547e-22
-1.79966466390625	-2.6106294542450446e-22
-1.79960362875	-2.6280761701854993e-22
-1.79954259359375	-2.644993028189891e-22
-1.7994815584375	-2.6613765832939523e-22
-1.79942052328125	-2.677223503464108e-22
-1.799359488125	-2.6925305599884343e-22
-1.79929845296875	-2.707294634177454e-22
-1.7992374178125	-2.7215127203482633e-22
-1.79917638265625	-2.735181916450456e-22
-1.7991153475	-2.748299437081666e-22
-1.79905431234375	-2.760862603315849e-22
-1.7989932771875	-2.772868851298795e-22
-1.79893224203125	-2.7843157256446764e-22
-1.798871206875	-2.7952008888255434e-22
-1.79881017171875	-2.8055221112714964e-22
-1.7987491365625	-2.81527728080327e-22
-1.79868810140625	-2.8244643977987975e-22
-1.79862706625	-2.833081576286768e-22
-1.79856603109375	-2.8411270469895605e-22
-1.7985049959375	-2.848599157026924e-22
-1.79844396078125	-2.8554963636890477e-22
-1.798382925625	-2.8618172461638117e-22
-1.79832189046875	-2.867560499432818e-22
-1.7982608553125	-2.8727249302365855e-22
-1.79819982015625	-2.8773094662748073e-22
-1.798138785	-2.881313148376835e-22
-1.79807774984375	-2.884735141428796e-22
-1.7980167146875	-2.887574719636648e-22
-1.79795567953125	-2.8898312817127273e-22
-1.797894644375	-2.8915043395802603e-22
-1.79783360921875	-2.892593522634718e-22
-1.7977725740625	-2.893098584012572e-22
-1.79771153890625	-2.893019385321408e-22
-1.79765050375	-2.8923559163027696e-22
-1.79758946859375	-2.8911082778804814e-22
-1.7975284334375	-2.8892766908060016e-22
-1.79746739828125	-2.8868614943694364e-22
-1.797406363125	-2.88386314390609e-22
-1.79734532796875	-2.880282214605881e-22
-1.7972842928125	-2.876119401231717e-22
-1.79722325765625	-2.8713755123792494e-22
-1.7971622225	-2.866051474068899e-22
-1.79710118734375	-2.8601483292699914e-22
-1.7970401521875	-2.8536672445612665e-22
-1.79697911703125	-2.846609494759481e-22
-1.796918081875	-2.838976475702381e-22
-1.79685704671875	-2.830769700157247e-22
-1.7967960115625	-2.821990794128725e-22
-1.79673497640625	-2.8126414994506345e-22
-1.79667394125	-2.8027236781099056e-22
-1.79661290609375	-2.792239303396745e-22
-1.7965518709375	-2.781190459988127e-22
-1.79649083578125	-2.769579353175981e-22
-1.796429800625	-2.757408299011138e-22
-1.79636876546875	-2.7446797260908548e-22
-1.7963077303125	-2.731396177344527e-22
-1.79624669515625	-2.7175603073157335e-22
-1.79618566	-2.7031748807935543e-22
-1.79612462484375	-2.688242779214281e-22
-1.7960635896875	-2.672766986649243e-22
-1.79600255453125	-2.65675060609435e-22
-1.795941519375	-2.6401968452744407e-22
-1.79588048421875	-2.623109016175546e-22
-1.7958194490625	-2.605490548946308e-22
-1.79575841390625	-2.587344975234304e-22
-1.79569737875	-2.5686759335624603e-22
-1.79563634359375	-2.549487166961372e-22
-1.7955753084375	-2.529782533658373e-22
-1.79551427328125	-2.5095659827127296e-22
-1.795453238125	-2.488841575520416e-22
-1.79539220296875	-2.4676134741847022e-22
-1.7953311678125	-2.4458859447043834e-22
-1.79527013265625	-2.4236633494608863e-22
-1.7952090975	-2.4009501576885004e-22
-1.79514806234375	-2.377750932719366e-22
-1.7950870271875	-2.3540703403353574e-22
-1.79502599203125	-2.3299131419660387e-22
-1.794964956875	-2.3052841975016537e-22
-1.79490392171875	-2.280188458715948e-22
-1.7948428865625	-2.2546309783397623e-22
-1.79478185140625	-2.228616895192402e-22
-1.79472081625	-2.2021514482390924e-22
-1.79465978109375	-2.1752399627065006e-22
-1.7945987459375	-2.147887858732501e-22
-1.79453771078125	-2.12010064218076e-22
-1.794476675625	-2.0918839102621461e-22
-1.79441564046875	-2.063243343966113e-22
-1.7943546053125	-2.034184716057843e-22
-1.79429357015625	-2.0047138779012645e-22
-1.794232535	-1.9748367684570212e-22
-1.79417149984375	-1.9445594084302904e-22
-1.7941104646875	-1.9138879028081373e-22
-1.79404942953125	-1.8828284289712524e-22
-1.793988394375	-1.8513872520613677e-22
-1.79392735921875	-1.819570711001946e-22
-1.7938663240625	-1.787385219304926e-22
-1.79380528890625	-1.7548372688312863e-22
-1.79374425375	-1.7219334255860793e-22
-1.79368321859375	-1.6886803228670732e-22
-1.7936221834375	-1.6550846716402607e-22
-1.79356114828125	-1.6211532487984114e-22
-1.793500113125	-1.5868929013915057e-22
-1.79343907796875	-1.552310543020399e-22
-1.7933780428125	-1.5174131512070423e-22
-1.79331700765625	-1.4822077710417914e-22
-1.7932559725	-1.4467015086550796e-22
-1.79319493734375	-1.4109015318682784e-22
-1.7931339021875	-1.3748150677106024e-22
-1.79307286703125	-1.3384494029915346e-22
-1.793011831875	-1.301811880505052e-22
-1.79295079671875	-1.2649099001309915e-22
-1.7928897615625	-1.227750913671655e-22
-1.79282872640625	-1.1903424279085722e-22
-1.79276769125	-1.1526919992955286e-22
-1.79270665609375	-1.1148072325495753e-22
-1.7926456209375	-1.0766957842126505e-22
-1.79258458578125	-1.0383653537139082e-22
-1.792523550625	-9.99823686772587e-23
-1.79246251546875	-9.610785722548143e-23
-1.7924014803125	-9.221378415293481e-23
-1.79234044515625	-8.830093651842392e-23
-1.79227941	-8.437010531561364e-23
-1.79221837484375	-8.042208511567593e-23
-1.7921573396875	-7.645767423213777e-23
-1.79209630453125	-7.247767415841696e-23
-1.792035269375	-6.848288971831748e-23
-1.79197423421875	-6.447412881579267e-23
-1.7919131990625	-6.045220217093226e-23
-1.79185216390625	-5.641792323606008e-23
-1.79179112875	-5.237210808447672e-23
-1.79173009359375	-4.8315575163578933e-23
-1.7916690584375	-4.424914512851076e-23
-1.79160802328125	-4.017364074116951e-23
-1.791546988125	-3.608988660585604e-23
-1.79148595296875	-3.19987091304627e-23
-1.7914249178125	-2.790093626196934e-23
-1.79136388265625	-2.3797397354999026e-23
-1.7913028475	-1.9688922970030226e-23
-1.79124181234375	-1.55763447600507e-23
-1.7911807771875	-1.1460495261937307e-23
-1.79111974203125	-7.342207744840755e-24
-1.791058706875	-3.222316037905997e-24
-1.79099767171875	8.983456527407473e-25
-1.7909366365625	5.0189428839334565e-24
