Time	Strain
-1.7999572675	-7.530900002308828e-21
-1.79989623234375	-7.540287794097273e-21
-1.7998351971875	-7.549632913877858e-21
-1.79977416203125	-7.558935296570424e-21
-1.799713126875	-7.568194900058121e-21
-1.79965209171875	-7.577411660040838e-21
-1.7995910565625	-7.586585522818999e-21
-1.79953002140625	-7.595716431641833e-21
-1.79946898625	-7.604804341336255e-21
-1.79940795109375	-7.613849190734477e-21
-1.7993469159375	-7.622850931448519e-21
-1.79928588078125	-7.631809503672116e-21
-1.799224845625	-7.640724861837762e-21
-1.79916381046875	-7.649596944352847e-21
-1.7991027753125	-7.658425705453736e-21
-1.79904174015625	-7.667211090570016e-21
-1.798980705	-7.675953045878993e-21
-1.79891966984375	-7.68465152234392e-21
-1.7988586346875	-7.693306468165576e-21
-1.79879759953125	-7.701917831051612e-21
-1.798736564375	-7.710485556267616e-21
-1.79867552921875	-7.719009601228309e-21
-1.7986144940625	-7.727489903634871e-21
-1.79855345890625	-7.735926421871576e-21
-1.79849242375	-7.744319104001315e-21
-1.79843138859375	-7.752667901093612e-21
-1.7983703534375	-7.76097275794567e-21
-1.79830931828125	-7.769233632551702e-21
-1.798248283125	-7.777450469995433e-21
-1.79818724796875	-7.785623229062918e-21
-1.7981262128125	-7.793751849242993e-21
-1.79806517765625	-7.801836288891688e-21
-1.7980041425	-7.809876499162424e-21
-1.79794310734375	-7.817872433558578e-21
-1.7978820721875	-7.825824042613961e-21
-1.79782103703125	-7.833731281349012e-21
-1.797760001875	-7.841594094050984e-21
-1.79769896671875	-7.849412448939973e-21
-1.7976379315625	-7.85718628046663e-21
-1.79757689640625	-7.864915557772652e-21
-1.79751586125	-7.872600226663713e-21
-1.79745482609375	-7.880240245990248e-21
-1.7973937909375	-7.887835565295458e-21
-1.79733275578125	-7.895386141431812e-21
-1.797271720625	-7.902891929062236e-21
-1.79721068546875	-7.910352883975824e-21
-1.7971496503125	-7.917768962010546e-21
-1.79708861515625	-7.925140118997376e-21
-1.79702758	-7.932466304860396e-21
-1.79696654484375	-7.939747481159224e-21
-1.7969055096875	-7.946983601094479e-21
-1.79684447453125	-7.9541746262741e-21
-1.796783439375	-7.961320504503296e-21
-1.79672240421875	-7.968421204324472e-21
-1.7966613690625	-7.975476673626459e-21
-1.79660033390625	-7.982486876793685e-21
-1.79653929875	-7.989451763487115e-21
-1.79647826359375	-7.996371303684882e-21
-1.7964172284375	-8.003245444506612e-21
-1.79635619328125	-8.01007414964715e-21
-1.796295158125	-8.016857377599059e-21
-1.79623412296875	-8.023595083155119e-21
-1.7961730878125	-8.030287236381388e-21
-1.79611205265625	-8.036933785746957e-21
-1.7960510175	-8.043534696267504e-21
-1.79598998234375	-8.050089926865627e-21
-1.7959289471875	-8.056599435880323e-21
-1.79586791203125	-8.063063188949185e-21
-1.795806876875	-8.06948114392878e-21
-1.79574584171875	-8.075853264742155e-21
-1.7956848065625	-8.082179507916878e-21
-1.79562377140625	-8.088459837030952e-21
-1.79556273625	-8.094694216930362e-21
-1.79550170109375	-8.100882606746307e-21
-1.7954406659375	-8.107024966130199e-21
-1.79537963078125	-8.113121268875378e-21
-1.795318595625	-8.119171464373094e-21
-1.79525756046875	-8.125175522476308e-21
-1.7951965253125	-8.131133409251714e-21
-1.79513549015625	-8.137045082224643e-21
-1.795074455	-8.1429105132678e-21
-1.79501341984375	-8.148729657454954e-21
-1.7949523846875	-8.154502482479141e-21
-1.79489134953125	-8.160228958180324e-21
-1.794830314375	-8.165909047831123e-21
-1.79476927921875	-8.171542706000402e-21
-1.7947082440625	-8.177129916463748e-21
-1.79464720890625	-8.18267062992753e-21
-1.79458617375	-8.188164819332727e-21
-1.79452513859375	-8.19361245326116e-21
-1.7944641034375	-8.199013492023102e-21
-1.79440306828125	-8.20436790693382e-21
-1.794342033125	-8.209675665946289e-21
-1.79428099796875	-8.214936727243579e-21
-1.7942199628125	-8.220151069751071e-21
-1.79415892765625	-8.225318654924577e-21
-1.7940978925	-8.230439459695291e-21
-1.79403685734375	-8.23551343914502e-21
-1.7939758221875	-8.240540574504028e-21
-1.79391478703125	-8.245520826981987e-21
-1.793853751875	-8.250454168169371e-21
-1.79379271671875	-8.255340565297901e-21
-1.7937316815625	-8.260179993555373e-21
-1.79367064640625	-8.264972418685166e-21
-1.79360961125	-8.269717815413007e-21
-1.79354857609375	-8.274416146654514e-21
-1.7934875409375	-8.279067387903921e-21
-1.79342650578125	-8.283671514451133e-21
-1.793365470625	-8.288228492569495e-21
-1.79330443546875	-8.292738293089148e-21
-1.7932434003125	-8.297200888796742e-21
-1.79318236515625	-8.30161625242236e-21
-1.79312133	-8.305984360675077e-21
-1.79306029484375	-8.310305179962146e-21
-1.7929992596875	-8.314578687481644e-21
-1.79293822453125	-8.318804854176334e-21
-1.792877189375	-8.322983652572394e-21
-1.79281615421875	-8.327115059250672e-21
-1.7927551190625	-8.331199050578658e-21
-1.79269408390625	-8.335235593931065e-21
-1.79263304875	-8.339224668512706e-21
-1.79257201359375	-8.343166248878669e-21
-1.7925109784375	-8.347060306299765e-21
-1.79244994328125	-8.350906822826664e-21
-1.792388908125	-8.35470576929073e-21
-1.79232787296875	-8.358457122829334e-21
