Time	Frequency
-0.49996365781249996	32.11749890677057
-0.49990262265624996	32.118861910002515
-0.49984158749999996	32.1202252058298
-0.49978055234374996	32.1215885107729
-0.49971951718749996	32.12295228310519
-0.49965848203124996	32.124315942119786
-0.49959744687499996	32.12568012925859
-0.49953641171874996	32.12704433588894
-0.49947537656249996	32.1284087258731
-0.49941434140624996	32.12977343105686
-0.49935330624999996	32.13113830718063
-0.49929227109374996	32.132503311926286
-0.49923123593749996	32.13386867267035
-0.49917020078124996	32.13523409611343
-0.49910916562499996	32.13659978547141
-0.49904813046874996	32.13796569535054
-0.49898709531249996	32.13933172432812
-0.49892606015624996	32.14069818430576
-0.49886502499999996	32.14206456413095
-0.49880398984374996	32.143431304475406
-0.49874295468749996	32.144798258707944
-0.49868191953124996	32.14616534237761
-0.49862088437499996	32.14753280553928
-0.49855984921874996	32.14890022082441
-0.49849881406249996	32.15026797335754
-0.49843777890624996	32.15163598769236
-0.49837674374999996	32.15300410819304
-0.49831570859374996	32.154372451475275
-0.49825467343749996	32.155741072900966
-0.49819363828124996	32.15710987186265
-0.49813260312499996	32.15847878962636
-0.49807156796874996	32.159847983347184
-0.49801053281249996	32.161217408483665
-0.49794949765624996	32.162586980362484
-0.49788846249999996	32.163956838907666
-0.49782742734374996	32.16532674451416
-0.49776639218749996	32.16669709479442
-0.49770535703124996	32.16806745704382
-0.49764432187499996	32.16943810929463
-0.49758328671874996	32.170808950494745
-0.49752225156249996	32.17217997138012
-0.49746121640624996	32.173551239652326
-0.49740018124999996	32.174922662485734
-0.49733914609374996	32.17629434560153
-0.49727811093749996	32.177666237454595
-0.49721707578124996	32.17903829509687
-0.49715604062499996	32.180410565552606
-0.49709500546874996	32.18178308009718
-0.49703397031249996	32.1831557368262
-0.49697293515624996	32.18452865380054
-0.49691189999999996	32.18590174197429
-0.49685086484374996	32.187275024062856
-0.49678982968749996	32.18864861082707
-0.49672879453124996	32.190022308389175
-0.49666775937499996	32.19139626108285
-0.49660672421874996	32.192770367003696
-0.49654568906249996	32.19414471215903
-0.49648465390624996	32.1955192208061
-0.49642361874999996	32.19689403386941
-0.49636258359374996	32.19826895413616
-0.49630154843749996	32.19964411093231
-0.49624051328124996	32.201019508630466
-0.49617947812499996	32.20239510824758
-0.49611844296874996	32.20377081858846
-0.49605740781249996	32.20514685246657
-0.49599637265624996	32.20652301748638
-0.49593533749999996	32.207899438230676
-0.49587430234374996	32.209276120035526
-0.49581326718749996	32.21065279020475
-0.49575223203124996	32.212029947736426
-0.49569119687499996	32.213407081589224
-0.49563016171874996	32.21478452256338
-0.49556912656249996	32.21616222333818
-0.49550809140624996	32.21753998914653
-0.49544705624999996	32.21891807048797
-0.49538602109374996	32.22029627341064
-0.49532498593749996	32.2216747978695
-0.49526395078124996	32.223053449282716
-0.49520291562499996	32.22443232936943
-0.49514188046874996	32.225811404779094
-0.49508084531249996	32.2271906943733
-0.49501981015624996	32.228570190740804
-0.49495877499999996	32.22994979801736
-0.49489773984374996	32.23132982202735
-0.49483670468749996	32.23270984637085
-0.49477566953124996	32.2340902097781
-0.49471463437499996	32.235470765284425
-0.49465359921874996	32.2368514214723
-0.49459256406249996	32.238232346650754
-0.49453152890624996	32.23961354752695
-0.49447049374999996	32.240994879507795
-0.49440945859374996	32.242376365531044
-0.49434842343749996	32.243758227192465
-0.49428738828124996	32.2451400997484
-0.49422635312499996	32.24652229365524
-0.49416531796874996	32.24790457757147
-0.49410428281249996	32.24928721089011
-0.49404324765624996	32.250669993582086
-0.49398221249999996	32.25205282511407
-0.49392117734374996	32.25343603476698
-0.49386014218749996	32.254819354921324
-0.49379910703124996	32.25620289266937
-0.49373807187499996	32.25758673427783
-0.49367703671874996	32.25897056588112
-0.49361600156249996	32.260354733064894
-0.49355496640624996	32.261739175020004
-0.49349393124999996	32.26312362082895
-0.49343289609374996	32.26450837427804
-0.49337186093749996	32.26589328866198
-0.49331082578124996	32.26727847896599
-0.49324979062499996	32.26866383090892
-0.49318875546874996	32.270049304877745
-0.49312772031249996	32.27143502956847
-0.49306668515624996	32.272820978448884
-0.49300564999999996	32.274207237933936
-0.49294461484374996	32.27559342263967
-0.49288357968749996	32.276979914318545
-0.49282254453124996	32.278366778448756
-0.49276150937499996	32.27975363053572
-0.49270047421874996	32.28114076765858
-0.49263943906249996	32.28252812537668
-0.49257840390624996	32.28391561412531
-0.49251736874999996	32.28530337412496
-0.49245633359374996	32.28669133218971
-0.49239529843749996	32.28807934580163
-0.49233426328124996	32.28946769836613
-0.49227322812499996	32.290856250811494
-0.49221219296874996	32.2922450045088
-0.49215115781249996	32.29363386122219
-0.49209012265624996	32.295023014718275
-0.49202908749999996	32.29641227015582
-0.49196805234374996	32.29780180877644
-0.49190701718749996	32.299191521820354
-0.49184598203124996	32.30058143919187
-0.49178494687499996	32.30197162703621
-0.49172391171874996	32.30336184886103
-0.49166287656249996	32.30475237039598
-0.49160184140624996	32.30614310200223
-0.49154080624999996	32.30753399013365
-0.49147977109374996	32.3089251376581
-0.49141873593749996	32.310316427070546
-0.49135770078124996	32.31170783721192
-0.49129666562499996	32.31309964415052
-0.49123563046874996	32.31449148762649
-0.49117459531249996	32.31588365930875
-0.49111356015624996	32.31727588624174
-0.49105252499999996	32.318668446642995
-0.49099148984374996	32.32006109145816
-0.49093045468749996	32.321454005004504
-0.49086941953124996	32.32284715808179
-0.49080838437499996	32.32424033183641
-0.49074734921874996	32.325633905019245
-0.49068631406249996	32.32702760015386
-0.49062527890624996	32.328421534967646
-0.49056424374999996	32.32981552681083
