Time	Frequency
-0.5000126307187429	0.5015977588736461
-0.4999515955624929	0.5028241167355602
-0.4998905604062429	0.5034201024737229
-0.4998295252499929	0.5033846767917746
-0.4997684900937429	0.5027175752261018
-0.4997074549374929	0.501419139275112
-0.4996464197812429	0.49949050203095063
-0.4995853846249929	0.4969337341331794
-0.4995243494687429	0.49375173121967253
-0.4994633143124929	0.48994803789702196
-0.4994022791562429	0.4855270241937215
-0.4993412439999929	0.4804939912996863
-0.4992802088437429	0.4748548951149502
-0.4992191736874929	0.468616362744898
-0.4991581385312429	0.4617859734249836
-0.4990971033749929	0.4543720359675954
-0.4990360682187429	0.44638348148152845
-0.4989750330624929	0.43783016263801705
-0.4989139979062429	0.42872247452168394
-0.4988529627499929	0.4190714282130762
-0.4987919275937429	0.40888909783310784
-0.4987308924374929	0.3981881702044258
-0.4986698572812429	0.3869815276691414
-0.4986088221249929	0.3752828917992067
-0.4985477869687429	0.3631074690961351
-0.4984867518124929	0.3504700994949952
-0.4984257166562429	0.33738553445439967
-0.4983646814999929	0.3238709482755305
-0.4983036463437429	0.30994372611177257
-0.4982426111874929	0.2956203639530743
-0.4981815760312429	0.2809184187543234
-0.4981205408749929	0.26585659906837344
-0.4980595057187429	0.2504542724989741
-0.4979984705624929	0.23473057619946952
-0.4979374354062429	0.21870459328555464
-0.4978764002499929	0.20239626790965135
-0.4978153650937429	0.1858266595426729
-0.4977543299374929	0.16901681789360384
-0.4976932947812429	0.15198723215696835
-0.4976322596249929	0.13475912373229038
-0.4975712244687429	0.11735428664402103
-0.4975101893124929	0.09979513417516579
-0.4974491541562429	0.082103626383564
-0.4973881189999929	0.06430126040987916
-0.4973270838437429	0.046410870179913244
-0.4972660486874929	0.028455289843555893
-0.4972050135312429	0.010457018132384215
-0.4971439783749929	-0.007561312109483276
-0.4970829432187429	-0.02557738167787695
-0.4970219080624929	-0.043568097188459415
-0.4969608729062429	-0.061510311006192704
-0.4968998377499929	-0.0793821949329609
-0.4968388025937429	-0.09716103628627254
-0.4967777674374929	-0.11482363013519972
-0.4967167322812429	-0.13234814742190468
-0.4966556971249929	-0.1497130162637782
-0.4965946619687429	-0.16689597191004416
-0.4965336268124929	-0.1838741165282681
-0.4964725916562429	-0.20062667457130154
-0.4964115564999929	-0.21713383480584045
-0.4963505213437429	-0.233373404277801
-0.4962894861874929	-0.24932415734177388
-0.4962284510312429	-0.26496670219070384
-0.4961674158749929	-0.2802816267789743
-0.4961063807187429	-0.2952492028186406
-0.4960453455624929	-0.30984981597986866
-0.4959843104062429	-0.3240656298502992
-0.4959232752499929	-0.3378788151135676
-0.4958622400937429	-0.35127109346728
-0.4958012049374929	-0.36422568387682835
-0.4957401697812429	-0.3767266221328159
-0.4956791346249929	-0.3887579711380177
-0.4956180994687429	-0.4003038632326558
-0.4955570643124929	-0.41134977386571026
-0.4954960291562429	-0.4218823507323883
-0.4954349939999929	-0.43188771328470255
-0.4953739588437429	-0.44135282208048654
-0.4953129236874929	-0.45026620529923117
-0.4952518885312429	-0.45861645499459375
-0.4951908533749929	-0.46639276435688537
-0.4951298182187429	-0.47358529447057873
-0.4950687830624929	-0.48018485275522826
-0.4950077479062429	-0.4861832450340497
-0.4949467127499929	-0.4915727351017187
-0.4948856775937429	-0.4963463501666835
-0.4948246424374929	-0.5004982220148712
-0.4947636072812429	-0.5040229831015308
-0.4947025721249929	-0.5069160791818887
-0.4946415369687429	-0.5091739417165257
-0.4945805018124929	-0.5107937292128453
-0.4945194666562429	-0.5117733304059366
-0.4944584314999929	-0.5121114708297351
-0.4943973963437429	-0.511807769604397
-0.4943363611874929	-0.5108626863651591
-0.4942753260312429	-0.5092774694003462
-0.4942142908749929	-0.5070540375764919
-0.4941532557187429	-0.5041952112037535
-0.4940922205624929	-0.500704868108363
-0.4940311854062429	-0.4965874348672641
-0.4939701502499929	-0.49184802094314806
-0.4939091150937429	-0.48649280148174345
-0.4938480799374929	-0.48052868993003583
-0.4937870447812429	-0.4739633533286509
-0.4937260096249929	-0.46680512319415357
-0.4936649744687429	-0.4590631199018924
-0.4936039393124929	-0.4507474181302663
-0.4935429041562429	-0.44186858940111906
-0.4934818689999929	-0.4324380262690251
-0.4934208338437429	-0.42246796752958304
-0.4933597986874929	-0.4119709572975008
-0.4932987635312429	-0.40096034093617244
-0.4932377283749929	-0.38945073185645585
-0.4931766932187429	-0.3774568648644444
-0.4931156580624929	-0.364993433773851
-0.4930546229062429	-0.35207688389069813
-0.4929935877499929	-0.33872417816239625
-0.4929325525937429	-0.32495178317073875
-0.4928715174374929	-0.310777675770479
-0.4928104822812429	-0.29622023581462115
-0.4927494471249929	-0.28129780434580787
-0.4926884119687429	-0.26602973812166875
-0.4926273768124929	-0.25043554201595275
-0.4925663416562429	-0.23453536858919358
-0.4925053064999929	-0.21834968095267593
-0.4924442713437429	-0.20189903695741768
-0.4923832361874929	-0.18520494768684823
-0.4923222010312429	-0.16828862013998538
-0.4922611658749929	-0.15117149545566483
-0.4922001307187429	-0.13387616353031886
-0.4921390955624929	-0.11642482937540083
-0.4920780604062429	-0.0988396573395004
-0.4920170252499929	-0.08114310612735535
