Time	Frequency
-0.5000228873124968	-3.8928020319816914e-24
-0.4999618521562468	-4.0600955884374715e-24
-0.4999008169999968	-4.2224031953977436e-24
-0.4998397818437468	-4.380494274213415e-24
-0.4997787466874968	-4.533530824133436e-24
-0.4997177115312468	-4.681260017977627e-24
-0.4996566763749968	-4.824268724583971e-24
-0.4995956412187468	-4.961426551836928e-24
-0.4995346060624968	-5.093121220894063e-24
-0.4994735709062468	-5.219402650767378e-24
-0.4994125357499968	-5.3392968308786325e-24
-0.4993515005937468	-5.453588358238752e-24
-0.4992904654374968	-5.561693487742681e-24
-0.4992294302812468	-5.663172030952658e-24
-0.4991683951249968	-5.7587844308678455e-24
-0.4991073599687468	-5.847519756504152e-24
-0.4990463248124968	-5.9296144286298566e-24
-0.4989852896562468	-6.005403826047467e-24
-0.4989242544999968	-6.073864458828327e-24
-0.4988632193437468	-6.135752183212251e-24
-0.4988021841874968	-6.1907769544634165e-24
-0.4987411490312468	-6.2383325492362675e-24
-0.4986801138749968	-6.279313669706984e-24
-0.4986190787187468	-6.3129021047415704e-24
-0.4985580435624968	-6.3391553611464934e-24
-0.4984970084062468	-6.358673392536105e-24
-0.4984359732499968	-6.370463173317537e-24
-0.4983749380937468	-6.3751984713433035e-24
-0.4983139029374968	-6.372893950505935e-24
-0.4982528677812468	-6.3628280090747186e-24
-0.4981918326249968	-6.3459739444332035e-24
-0.4981307974687468	-6.321748869814396e-24
-0.4980697623124968	-6.2900346176369456e-24
-0.4980087271562468	-6.251662451978753e-24
-0.4979476919999968	-6.205726627770607e-24
-0.4978866568437468	-6.1527779323370195e-24
-0.4978256216874968	-6.0931375845277235e-24
-0.4977645865312468	-6.026011120581188e-24
-0.4977035513749968	-5.952392074601936e-24
-0.4976425162187468	-5.871971689128065e-24
-0.4975814810624968	-5.7844575517751794e-24
-0.4975204459062468	-5.690860410916232e-24
-0.4974594107499968	-5.5904231353152335e-24
-0.4973983755937468	-5.483537775326238e-24
-0.4973373404374968	-5.3708096185119055e-24
-0.4972763052812468	-5.2514204435231906e-24
-0.4972152701249968	-5.126321643410078e-24
-0.4971542349687468	-4.9954938109495765e-24
-0.4970931998124968	-4.858492800777754e-24
-0.4970321646562468	-4.716452430917728e-24
-0.4969711294999968	-4.568794728762868e-24
-0.4969100943437468	-4.4157217817875515e-24
-0.4968490591874968	-4.258107657967684e-24
-0.4967880240312468	-4.095157290205635e-24
-0.4967269888749968	-3.9276944223682925e-24
-0.4966659537187468	-3.756006111607431e-24
-0.4966049185624968	-3.579534999329311e-24
-0.4965438834062468	-3.399434124869379e-24
-0.4964828482499968	-3.2153542467362472e-24
-0.4964218130937468	-3.027320874460357e-24
-0.4963607779374968	-2.8363800643057526e-24
-0.4962997427812468	-2.641801824284061e-24
-0.4962387076249968	-2.4442736774329833e-24
-0.4961776724687468	-2.2443486655416218e-24
-0.4961166373124968	-2.0413585089359833e-24
-0.4960556021562468	-1.836442235277576e-24
-0.4959945669999968	-1.6294975183468442e-24
-0.4959335318437468	-1.4203286014561753e-24
-0.4958724966874968	-1.2101196094328974e-24
-0.4958114615312468	-9.982593163546764e-25
-0.4957504263749968	-7.8521465547972e-25
-0.4956893912187468	-5.717893238486867e-25
-0.4956283560624968	-3.572613556477908e-25
-0.4955673209062468	-1.4265007765231607e-25
-0.4955062857499968	7.189286475897275e-26
-0.4954452505937468	2.86754762599796e-25
-0.4953842154374968	5.00703035509784e-25
-0.4953231802812468	7.141943671565995e-25
-0.4952621451249968	9.27004987338357e-25
-0.4952011099687468	1.1381523945255978e-24
-0.4951400748124968	1.3483691030634988e-24
-0.4950790396562468	1.5567982950456446e-24
-0.4950180044999968	1.763058028611991e-24
-0.4949569693437468	1.9677156007984807e-24
-0.4948959341874968	2.1695646538542618e-24
-0.4948348990312468	2.368888781772416e-24
-0.4947738638749968	2.565711880934098e-24
-0.4947128287187468	2.7589282032640262e-24
-0.4946517935624968	2.949260355024184e-24
-0.4945907584062468	3.1360731001048528e-24
-0.4945297232499968	3.318759973295306e-24
-0.4944686880937468	3.4980464064777376e-24
-0.4944076529374968	3.672833050543695e-24
-0.4943466177812468	3.843200213361313e-24
-0.4942855826249968	4.009446866982594e-24
-0.4942245474687468	4.170410754196305e-24
-0.4941635123124968	4.326733158994694e-24
-0.4941024771562468	4.478067728636579e-24
-0.4940414419999968	4.6236318711745845e-24
-0.4939804068437468	4.764246207598092e-24
-0.4939193716874968	4.898998681200992e-24
-0.4938583365312468	5.027769605366195e-24
-0.4937973013749968	5.15110450196963e-24
-0.4937362662187468	5.267864699408357e-24
-0.4936752310624968	5.378579813629423e-24
-0.4936141959062468	5.483208852110722e-24
-0.4935531607499968	5.580844745049533e-24
-0.4934921255937468	5.67235861395511e-24
-0.4934310904374968	5.75708054122546e-24
-0.4933700552812468	5.8346972193519166e-24
-0.4933090201249968	5.905974669295615e-24
-0.4932479849687468	5.969875976960255e-24
-0.4931869498124968	6.026779965843043e-24
-0.4931259146562468	6.076951665681215e-24
-0.4930648794999968	6.1194238802561875e-24
-0.4930038443437468	6.155064107489274e-24
-0.4929428091874968	6.183488866893507e-24
-0.4928817740312468	6.204217420651083e-24
-0.4928207388749968	6.2181820471009956e-24
-0.4927597037187468	6.224507890187109e-24
-0.4926986685624968	6.223409979035045e-24
-0.4926376334062468	6.215447896869413e-24
-0.4925765982499968	6.199648736008813e-24
-0.4925155630937468	6.176821236126318e-24
-0.4924545279374968	6.1468965148427345e-24
-0.4923934927812468	6.1092551489864294e-24
-0.4923324576249968	6.064938171359326e-24
-0.4922714224687468	6.013293120627378e-24
-0.4922103873124968	5.954354002602317e-24
-0.4921493521562468	5.888934052623102e-24
-0.4920883169999968	5.8161218727494945e-24
-0.4920272818437468	5.736622370054792e-24
-0.4919662466874968	5.650676263767929e-24
-0.4919052115312468	5.557563492711822e-24
-0.4918441763749968	5.458378321120724e-24
-0.4917831412187468	5.3527206908129825e-24
-0.4917221060624968	5.240439647365593e-24
-0.4916610709062468	5.12256612916812e-24
-0.4916000357499968	4.998294881043624e-24
-0.4915390005937468	4.86817259150582e-24
-0.4914779654374968	4.732751594484157e-24
-0.4914169302812468	4.5912516136004504e-24
-0.4913558951249968	4.4447345931701e-24
-0.4912948599687468	4.293095088428365e-24
-0.4912338248124968	4.136008631228334e-24
-0.4911727896562468	3.97463174707291e-24
-0.4911117544999968	3.808328614686168e-24
-0.4910507193437468	3.637469263837577e-24
-0.4909896841874968	3.4628566488576266e-24
-0.4909286490312468	3.2836999808769003e-24
-0.4908676138749968	3.1009799079494266e-24
-0.4908065787187468	2.914867098702896e-24
-0.4907455435624968	2.724881554182812e-24
-0.4906845084062468	2.532261928727627e-24
-0.4906234732499968	2.3365544662199484e-24
-0.4905624380937468	2.137909143528365e-24
-0.4905014029374968	1.9373645017373958e-24
-0.4904403677812468	1.7341547071130178e-24
-0.4903793326249968	1.52909377508241e-24
-0.4903182974687468	1.3226455773408342e-24
-0.4902572623124968	1.1141873159810298e-24
-0.4901962271562468	9.049408591769163e-25
-0.4901351919999968	6.946962670130907e-25
-0.4900741568437468	4.833633327754574e-25
-0.4900131216874968	2.721181823759822e-25
-0.4899520865312468	6.0286588686027e-26
-0.4898910513749968	-1.5152514509808817e-25
-0.4898300162187468	-3.626121263482046e-25
-0.4897689810624968	-5.737023045384584e-25
-0.4897079459062468	-7.836600109436127e-25
-0.4896469107499968	-9.924515916536718e-25
-0.4895858755937468	-1.2004031664019895e-24
-0.4895248404374968	-1.4062678990221578e-24
-0.4894638052812468	-1.610595332557539e-24
-0.4894027701249968	-1.8130395150702712e-24
-0.4893417349687468	-2.0126966523155522e-24
-0.4892806998124968	-2.2103380475735067e-24
-0.4892196646562468	-2.405001570088607e-24
-0.4891586294999968	-2.5964336026061417e-24
-0.4890975943437468	-2.785160026831799e-24
-0.4890365591874968	-2.9699362556857243e-24
-0.4889755240312468	-3.1511746574861807e-24
-0.4889144888749968	-3.3288122132307865e-24
-0.4888534537187468	-3.501785966776473e-24
-0.4887924185624968	-3.67088885270941e-24
-0.4887313834062468	-3.835401952837557e-24
-0.4886703482499968	-3.994833882916744e-24
-0.4886093130937468	-4.1499023905072186e-24
-0.4885482779374968	-4.2994674744104916e-24
-0.4884872427812468	-4.443746322211018e-24
-0.4884262076249968	-4.5829698867030506e-24
-0.4883651724687468	-4.716016582522579e-24
-0.4883041373124968	-4.843627864076272e-24
-0.4882431021562468	-4.965364081379424e-24
-0.4881820669999968	-5.080564398031347e-24
-0.4881210318437468	-5.190077723809627e-24
-0.4880599966874968	-5.292928025156498e-24
-0.4879989615312468	-5.389157258869791e-24
